# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
ASCC2	100
ASCC3	100
ASCL2	99.5189
ASCL3	100
ASCL4	100
ASCL5	100
ASDURF	100
ASF1B	100
ASGR1	100
ASGR2	100
ASH1L	100
ASH2L	100
ASIC1	100
ASIC2	98.4238
ASIC3	100
ASIC4	100
ASIC5	100
ASIP	100
ASL	100
ASMT	50
ASMTL	50
ASNS	76.2977
ASNSD1	100
ASPDH	100
ASPG	100
ASPH	100
ASPHD1	100
ASPHD2	100
ASPM	100
ASPRV1	100
ASPSCR1	100
ASRGL1	87.5
ASS1	100
ASTE1	100
ASTL	100
ASTN1	100
ASTN2	99.8715
ASXL1	100
ASXL2	100
ASXL3	100
ASZ1	100
ATAD1	100
ATAD2	100
ATAD2B	100
ATAD3A	97.076
ATAD3B	96.2353
ATAD3C	97.7733
ATAD5	100
ATAT1	100
ATCAY	100
ATE1	100
ATF1	100
ATF2	100
ATF3	100
ATF4	100
ATF5	99.4635
ATF6	100
ATF6B	100
ATF7-NPFF	100
ATF7IP	100
ATF7IP2	100
ATG10	100
ATG101	100
ATG12	100
ATG13	100
ATG14	100
ATG16L1	100
ATG16L2	100
ATG2A	100
ATG2B	100
ATG3	100
ATG4A	100
ATG4B	100
ATG4C	100
ATG4D	99.9064
ATG5	100
ATG7	100
ATG9A	100
ATG9B	99.6985
ATIC	100
ATL1	100
ATL2	100
ATL3	100
ATM	100
ATMIN	90.0446
ATN1	100
ATOH1	100
ATOH7	89.8475
ATOH8	100
ATOX1	100
ATP10A	99.6214
ATP10B	100
ATP10D	100
ATP11A	100
ATP11B	100
ATP11C	100
ATP12A	100
ATP13A1	100
ATP13A2	100
ATP13A3	100
ATP13A4	100
ATP13A5	100
ATP1A1	100
ATP1A2	100
ATP1A3	100
ATP1A4	100
ATP1B1	100
ATP1B2	100
ATP1B3	100
ATP1B4	100
ATP23	100
ATP2A1	100
ATP2A2	100
ATP2A3	99.6203
ATP2B1	100
ATP2B2	100
ATP2B3	100
ATP2B4	100
ATP2C1	100
ATP2C2	100
ATP4A	100
ATP4B	100
ATP5F1A	100
ATP5F1B	100
ATP5F1C	100
ATP5F1D	100
ATP5F1E	100
ATP5IF1	100
ATP5MC1	100
ATP5MC2	100
ATP5MC3	100
ATP5ME	100
ATP5MF-PTCD1	100
ATP5MG	100
ATP5MJ	80
ATP5MK	100
ATP5PB	100
ATP5PD	100
ATP5PF	100
ATP5PO	100
ATP6AP1	100
ATP6AP2	100
ATP6V0A1	100
ATP6V0A2	100
ATP6V0A4	100
ATP6V0B	100
ATP6V0C	100
ATP6V0D1	100
ATP6V0D2	100
ATP6V0E1	100
ATP6V0E2	100
ATP6V1A	100
ATP6V1B1	100
ATP6V1B2	100
ATP6V1C1	100
ATP6V1C2	100
ATP6V1D	100
ATP6V1E1	100
ATP6V1E2	100
ATP6V1F	100
ATP6V1FNB	100
ATP6V1G1	100
ATP6V1G2	100
ATP6V1G3	100
ATP6V1H	100
ATP7A	100
ATP7B	100
ATP8A1	100
ATP8A2	100
ATP8B1	100
ATP8B2	100
ATP8B3	100
ATP8B4	100
ATP9A	100
ATP9B	100
ATPAF1	99.9045
ATPAF2	100
ATPSCKMT	100
ATR	100
ATRAID	100
ATRIP	100
ATRN	100
ATRNL1	100
ATRX	100
ATXN1	100
ATXN10	100
ATXN1L	100
ATXN2	99.5572
ATXN2L	99.9759
ATXN3	100
ATXN3L	100
ATXN7	99.1527
ATXN7L1	100
ATXN7L2	100
ATXN7L3	100
ATXN7L3B	100
AUH	100
AUNIP	100
AUP1	100
AURKA	100
AURKAIP1	100
AURKB	100
AURKC	100
AUTS2	99.7996
AVEN	95.4557
AVIL	100
AVL9	100
AVP	100
AVPI1	100
AVPR1A	100
AVPR1B	100
AVPR2	100
AWAT1	100
AWAT2	100
AXDND1	100
AXIN1	95.596
AXIN2	100
AXL	100
AZGP1	100
AZI2	100
AZIN1	100
AZIN2	100
AZU1	100
B2M	100
B3GALNT1	100
B3GALNT2	99.4643
B3GALT1	100
B3GALT4	100
B3GALT5	100
B3GALT6	90.101
B3GALT9	100
B3GAT1	100
B3GAT2	99.4924
B3GAT3	100
B3GLCT	100
B3GNT2	100
B3GNT3	100
